status	title	photo	estValue	compDate	soldPrice	soldDate	sku	notes
collection	2026 Topps Chrome The National NSCC Dylan Harper #NBA-42 RC Rookie Refractor Spurs	assets/cards/Dylan-Harper_NBA-42_front.jpg	25.00	2026-08-24				National convention exclusive rookie refractor of the Spurs guard, the second pick of the 2025 draft.
collection	2026 Panini The National NSCC Deion Sanders #45 Silver Pack Dallas Cowboys	assets/cards/Deion-Sanders_45_front.jpg	0.99	2026-08-23				Silver pack convention exclusive of Prime Time in Cowboys silver and blue.
collection	2026 Panini The National Dia Bell Rated Prospect NIL #NIL15 Texas Longhorns	assets/cards/Dia-Bell_NIL15_front.jpg	1.99	2026-08-19				Rated Prospect NIL card of the Texas Longhorns quarterback.
collection	2026 Leaf The National Diana Taurasi #38 NSCC Promo	assets/cards/Diana-Taurasi_38_front.jpg	2.00	2026-08-21				National convention promo of the all-time WNBA scoring leader.
collection	2026 Leaf The National Dustin Poirier #45 NSCC UFC Promo	assets/cards/Dustin-Poirier_45_front.jpg	1.30	2026-08-25				National convention promo of the UFC lightweight.
collection	2026 Leaf The National Dwight Gooden #46 NSCC Promo New York Mets	assets/cards/Dwight-Gooden_46_front.jpg	1.75	2026-08-21				National convention promo of Doc Gooden in Mets pinstripes.
collection	2026 Leaf The National Dave Winfield #33 NSCC Promo San Diego Padres	assets/cards/Dave-Winfield_33_front.jpg	1.95	2026-08-21				National convention promo of the Padres Hall of Fame outfielder.
collection	2026 Panini The National Dakorien Moore NIL #NIL10 Green Oregon Ducks	assets/cards/Dakorien-Moore_NIL10_front.jpg	5.00	2026-08-15				Green parallel NIL card of the Oregon Ducks wide receiver.
collection	2026 Upper Deck Fleer Hot Prospects Daniil But #HPADB NSCC RC Rookie Auto Utah Mammoth	assets/cards/Daniil-But_HPADB_front.jpg	15.99	2026-08-11				Convention exclusive on-card rookie autograph of the Utah Mammoth winger, from Fleer Hot Prospects.
collection	2026 Topps Chrome WWE The National NSCC Carmelo Hayes #WWE-21 Refractor	assets/cards/Carmelo-Hayes_WWE-21_front.jpg	2.99	2026-08-22				National convention exclusive refractor of the SmackDown superstar.
collection	2026 Topps Chrome WWE Kevin Nash #24 Diamond Plate Refractor	assets/cards/Kevin-Nash_24_front.jpg	3.00	2026-08-15				Diamond plate refractor of the WWE Hall of Famer, better known as Diesel.
collection	2026 Topps Chrome WWE Kelani Jordan #NXT-KEL On-Card Auto NXT	assets/cards/Kelani-Jordan_NXT-KEL_front.jpg	5.50	2026-08-23				On-card autograph of the NXT competitor and first NXT womens North American champion.
collection	2025 Panini Certified Kaleb Johnson Freshman Fabric RPA Auto Patch 09/15 Pittsburgh Steelers	assets/cards/Kaleb-Johnson_FBC-KJN_front.jpg	30.00	2026-08-19				Freshman Fabric rookie patch autograph of the Steelers running back, numbered 9 of 15.
collection	2026 Topps Chrome WWE Angelo Dawkins #108 Sapphire Edition	assets/cards/Angelo-Dawkins_108_front.jpg	0.80	2026-08-17				Sapphire Edition card of the Street Profits tag team champion.
collection	2026 Topps Chrome WWE The National NSCC Austin Theory #WWE-50 Refractor	assets/cards/Austin-Theory_WWE-50_front.jpg	1.95	2026-08-22				National convention exclusive refractor of the two-time United States champion.
collection	2026 Topps Chrome WWE The National NSCC Charlotte Flair #WWE-27 Refractor	assets/cards/Charlotte-Flair_WWE-27_front.jpg	1.95	2026-08-22				National convention exclusive refractor of the 14-time womens champion.
collection	2026 Topps Chrome Marcus Semien #281 Refractor New York Mets	assets/cards/Marcus-Semien_281_front.jpg	1.43	2026-08-22				Refractor of the Mets second baseman.
collection	2026 Topps Chrome Brett Baty #263 Refractor New York Mets	assets/cards/Brett-Baty_263_front.jpg	0.80	2026-08-24				Refractor of the Mets third baseman.
collection	2026 Topps Chrome WWE Carmelo Hayes #70 Refractor	assets/cards/Carmelo-Hayes_70_front.jpg	2.00	2026-08-15				Refractor of the former NXT champion, now on the main roster.
collection	2026 Topps Chrome WWE Nikki Cross #132 Gold Refractor	assets/cards/Nikki-Cross_132_front.jpg	6.20	2026-07-27				Gold refractor of the former WWE womens champion.
collection	2025 Panini Certified Peyton Manning Immortals #IM-PMG Mirror Purple /299 Indianapolis Colts	assets/cards/Peyton-Manning_IM-PMG_front.jpg	1.04	2026-08-13				Mirror purple Immortals insert of the Colts Hall of Fame quarterback.
collection	2025 Topps Star Wars Masterwork Kylo Ren Under Disguise #UNS-7 4/5	assets/cards/Kylo-Ren_UNS-7_front.jpg	45.00	2026-08-25				Under Disguise insert of Kylo Ren from The Force Awakens, numbered 4 of 5.
collection	2025 Topps Pristine Julio Rodriguez Pristine Pieces Autograph Relic #PPAR-JRO Seattle Mariners	assets/cards/Julio-Rodriguez_PPAR-JRO_front.jpg	104.00	2026-08-13				On-card autograph of the Mariners centre fielder with a game-used relic window.
collection	2025 Topps Pristine Ken Griffey Jr Perseverance #P-10 Seattle Mariners	assets/cards/Ken-Griffey-Jr_P-10_front.jpg	2.50	2026-08-25				Perseverance insert marking 22 big-league seasons for the Mariners Hall of Famer.
collection	2026 Leaf Baseball Nation Sebastian Walcott #BA-SW1 Auto Red Texas Rangers	assets/cards/Sebastian-Walcott_BA-SW1_front.jpg	25.00	2026-05-05				Baseball Nation red autograph of the Rangers shortstop prospect.
